Train_Number,Organisation,Busan,Gupo,Mulgeum,Miryang,Gyeongsan,Ulsan,Gyeongju,Dongdaegu,Seodaegu,Gimcheon(Gumi),Daejeon,Osong,Cheonan-Asan,PyeongtaekJije,Dongtan,Suseo,Gwangmyeong,Suwon,Yeongdeungpo,Seoul,Haengsin,Frequency
44,,15:43:00,,,,,16:06:00,,16:31:00,,,17:14:30,,17:38:30,,,,18:04:30,,,18:22:00,,Everyday
108,,15:25:00,15:39:30,,16:05:30,,,,16:39:30,16:49:00,,17:31:30,17:49:00,18:02:00,,,,18:27:30,,,18:45:00,,Everyday
46,,16:15:00,,,,,16:38:30,16:50:30,17:09:00,,17:32:00,17:57:30,18:15:00,,,,,18:47:30,,,19:05:00,,Everyday
94,,16:28:00,,,,,16:51:00,,17:16:00,,17:39:00,18:04:30,18:22:00,,,,,18:56:30,,,19:14:00,,Everyday
48,,16:55:00,,,,,,17:24:00,17:42:30,,,18:25:30,,18:49:30,,,,19:15:30,,,19:34:00,,Everyday
50,,17:00:00,,,,,17:23:00,,17:48:00,,,18:30:30,18:48:00,19:01:00,,,,19:26:30,,,19:44:00,,Everyday
96,,17:15:00,,,,,,,17:57:00,,18:20:00,18:45:30,,19:10:00,,,,,,,19:48:00,,"Friday, Saturday, Sunday"
52,KTX-Sancheon2,17:20:00,,,,,17:43:00,17:55:00,18:13:30,,,18:56:30,,19:20:30,,,,19:46:00,,,20:08:30,20:26:00,Everyday
126,,17:50:00,,,,,18:13:00,18:25:00,18:43:30,,,19:27:00,,,,,,,20:38:30,21:00:30,21:11:00,,Everyday
54,,18:00:00,,,,,18:23:30,,18:49:00,,19:12:00,19:37:30,19:55:00,20:08:00,,,,20:34:30,,,20:52:00,,Everyday
98,KTX-Sancheon,18:25:00,,,,,,18:53:30,19:16:00,,,19:59:00,,,,,,,,,21:01:00,21:18:00,"Friday, Saturday, Sunday"
56,,18:32:00,,,,,18:55:00,19:07:00,19:25:30,,19:48:30,20:15:00,20:33:00,,,,,21:06:30,,,21:24:00,,Everyday
58,,19:12:00,,,,,,,19:53:00,,,20:37:00,,,,,,,,,21:39:00,21:56:00,"Monday, Tuesday, Thursday"
182,KTX-Cheongryong,19:12:00,,,,,,,19:53:00,,,20:37:00,,,,,,,,,21:39:00,21:56:00,"Friday, Saturday, Sunday"
60,,19:16:00,,,,,,,19:57:00,,20:20:00,20:46:30,21:04:00,21:17:00,,,,21:41:30,,,21:59:00,,Everyday
110,KTX-Sancheon,18:42:00,18:56:30,19:07:00,19:27:00,19:54:00,,,20:08:30,20:18:00,,21:01:30,,,,,,21:47:00,,,22:05:00,,Everyday
164,,19:07:00,19:21:30,19:32:00,19:52:00,,,,20:26:00,,,21:09:30,,21:33:30,,,,,,,22:12:00,,"Friday, Saturday, Sunday"
100,,19:38:00,,,,,20:01:00,20:13:00,20:31:30,,,21:14:00,,21:38:00,,,,22:03:30,,,22:26:00,22:43:00,"Friday, Saturday, Sunday"
194,KTX-Sancheon,19:38:00,,,,,20:01:00,20:13:00,20:31:30,,,21:14:00,,21:38:00,,,,22:03:30,,,22:26:00,22:43:00,"Monday, Tuesday, Thursday"
