Train_Number,Haengsin,Seoul,Yeongdeungpo,Suwon,Gwangmyeong,Suseo,Dongtan,PyeongtaekJije,Cheonan-Asan,Osong,Daejeon,Gimcheon(Gumi),Seodaegu,Dongdaegu,Gyeongju,Ulsan,Gyeongsan,Miryang,Mulgeum,Gupo,Busan,Frequency
105,16:51:00,17:13:00,,,17:32:30,,,,,,18:14:30,,,18:58:30,,,19:09:45,19:36:30,,20:02:30,20:15:00,Everyday
51,,17:23:00,,,17:42:00,,,,18:04:30,,18:29:30,18:54:00,,19:19:00,19:37:30,19:50:00,,,,,20:11:00,Everyday
53,,17:58:00,,,,,,,18:34:30,,18:59:30,19:24:00,,19:49:30,,20:14:00,,,,,20:35:00,Everyday
55,,18:13:00,,,18:32:00,,,,,19:00:30,19:19:30,19:44:00,,20:09:00,,20:34:00,,,,,20:55:00,Everyday
57,18:03:00,18:24:30,,,18:43:30,,,,19:06:00,19:18:30,19:37:30,,,20:21:30,20:40:00,20:52:30,,,,,21:14:00,Everyday
107,,18:41:00,,,19:00:00,,,,19:22:30,19:35:00,19:52:00,20:16:30,20:40:30,20:49:30,,,,21:22:00,21:42:00,21:53:00,22:06:00,Everyday
59,,18:58:00,,,19:17:00,,,,19:39:30,19:52:00,20:09:00,,,20:52:30,,21:17:00,,,,,21:38:00,Everyday
91,,19:20:00,,,19:39:00,,,,,,20:19:00,,,21:03:00,21:21:30,,,,,,21:49:00,"Friday, Saturday, Sunday"
61,,19:35:00,,,,,,,,20:17:30,20:34:30,20:59:00,,21:24:00,,21:49:00,,,,,22:10:00,Everyday
127,,18:53:00,19:07:30,19:33:00,,,,,,,20:44:00,,,21:28:00,21:46:30,,,,,,22:14:00,Everyday
165,,19:44:00,,,20:03:00,,,,20:25:30,,20:49:00,,,21:33:30,,,,22:06:30,22:26:30,22:37:30,22:50:00,"Friday, Saturday"
93,,19:54:00,,,20:13:00,,,,20:35:30,,20:58:30,,,21:42:30,22:01:00,,,,,,22:29:00,"Friday, Saturday, Sunday"
63,,19:58:00,,,20:17:00,,,,20:39:30,20:52:00,21:09:00,,,21:52:30,,22:17:00,,,,,22:38:00,Everyday
95,,20:13:00,,,20:32:30,,,,20:55:00,,21:18:00,,,22:02:00,,,,,,,22:42:00,"Friday, Saturday, Sunday"
65,,20:28:00,,,,,,,,,21:22:00,,22:05:00,22:14:00,,22:39:30,,,,,23:01:00,Everyday
177,,19:48:00,19:59:00,20:23:00,,,,,,,21:33:00,21:57:30,,22:22:30,22:41:00,,,,,,23:09:00,"Friday, Saturday, Sunday"
109,,20:49:00,,,21:08:00,,,,21:30:30,,21:54:30,,22:37:30,22:46:30,,,,23:19:00,23:39:00,23:50:00,00:03:00,Everyday
67,,20:58:00,,,21:16:30,,,,21:39:00,,22:04:00,22:28:30,,22:53:30,23:12:00,23:24:30,,,,,23:46:00,Everyday
69,,21:28:00,,,21:47:30,,,,,22:16:00,22:35:00,,,23:19:00,,23:43:30,,,,,00:05:00,Everyday
195,21:10:00,21:33:00,,,21:52:00,,,,22:14:30,,22:39:30,,,23:24:00,23:43:00,,,,,,00:10:00,Everyday
111,,21:38:00,,,21:57:00,,,,22:19:30,,22:44:30,,23:27:30,23:36:30,,,,00:09:00,,00:35:30,00:48:00,Everyday
71,,21:58:00,,,22:17:00,,,,22:39:30,,23:04:30,,23:47:30,23:56:30,,00:22:00,,,,,00:43:00,Everyday
73,,22:28:00,,,22:47:00,,,,23:09:30,,23:34:30,,,00:18:30,,00:43:00,,,,,01:04:00,Everyday
97,,22:49:00,,,23:08:00,,,,,,23:48:00,,,00:32:00,,,,,,,01:12:00,"Friday, Saturday, Sunday"
117,,22:58:00,,,23:17:00,,,,23:39:30,23:52:00,00:09:00,00:33:30,00:57:30,01:05:00,,,,,,,,Everyday
119,,23:28:00,,,23:47:00,,,,00:09:30,00:22:00,00:37:00,,,,,,,,,,,Everyday
